COMPANY,FROM YEAR,YEAR,ATTACHMENT,XBRL,ORIGINAL SUBMISSION DATE,Company ID
International Gemmological Institute (India) Limited,2024,2024,https://nsearchives.nseindia.com/corporate/IGIINDIA_17062025191638_SE_BRSR_Disclosure.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467735_17062025071711_WEB.xml,17-Jun-25,BRSR_1467735_17062025071711
Sanghi Industries Limited,2024,2025,https://nsearchives.nseindia.com/corporate/SANGHIIND_17062025172553_SILBRSR31032025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467642_17062025052610_WEB.xml,17-Jun-25,BRSR_1467642_17062025052610
Network18 Media & Investments Limited,2024,2025,https://nsearchives.nseindia.com/corporate/Shambhu_17062025155932_NW18_BRSR_2024-25.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467575_17062025040020_WEB.xml,17-Jun-25,BRSR_1467575_17062025040020
Jupiter Life Line Hospitals Limited,2024,2025,https://nsearchives.nseindia.com/corporate/JUPITER2023_17062025153916_JLHL_BRSR_Report.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467550_17062025033934_WEB.xml,17-Jun-25,BRSR_1467550_17062025033934
Dalmia Bharat Sugar and Industries Limited,2024,2025,https://nsearchives.nseindia.com/corporate/DALMIACEM_17062025133918_Dalmia_Sugar_Annual_Report_2024-25.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467479_17062025013935_WEB.xml,17-Jun-25,BRSR_1467479_17062025013935
TATA COMMUNICATIONS LIMITED,2024,2025,https://nsearchives.nseindia.com/corporate/TATACOMM_16062025223319_18197B.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467345_16062025103334_WEB.xml,16-Jun-25,BRSR_1467345_16062025103334
ALEMBIC PHARMACEUTICALS LIMITED,2024,2025,https://nsearchives.nseindia.com/corporate/APLLTD_16062025213332_BRSR_Signed.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467340_16062025093416_WEB.xml,16-Jun-25,BRSR_1467340_16062025093416
ADANI POWER LIMITED,2024,2025,https://nsearchives.nseindia.com/corporate/ADANIPOWER_16062025165723_APLBRSR2025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467091_16062025045831_WEB.xml,16-Jun-25,BRSR_1467091_16062025045831
Kalpataru Projects International Limited,2024,2025,https://nsearchives.nseindia.com/corporate/KALPATPOWR_16062025153918_SEIntimation16062025BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467004_16062025034025_WEB.xml,16-Jun-25,BRSR_1467004_16062025034025
Epigral LIMITED,2024,2025,https://nsearchives.nseindia.com/corporate/MFL_16062025121036_BRSR16062025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466874_16062025121401_WEB.xml,16-Jun-25,BRSR_1466874_16062025121401
